sample,temp,co2,genotype,cell_conc_per_uL,volume_ul,cell_count,chla_extraction_vol_ml,A665,A750,A632,chla_ug_per_ml,pco2_calculated,cell_conc_per_mL,cells_filtered,chl_a_total_ug,chl_a_per_cell_pg
260,26,100,CCMP1587,24.3,312000,7581600,25,0.0663,0.045,0.0484,0.27342776,320.2716,24300,607500,1.3671388000000002,2.2504342386831278
2600,26,200,CCMP1587,28,312000,8736000,25,0.0609,0.0444,0.0472,0.21136418,548.8557,28000,700000,1.0568209,1.509744142857143
26000,26,300,CCMP1587,35,312000,10920000,25,0.0654,0.0434,0.0481,0.27922447,526.0989,35000,875000,1.39612235,1.5955683999999999
260000,26,400,CCMP1587,37.07,312000,11564904,25,0.0595,0.0433,0.0476,0.20335871,577.6004,37070,926750,1.01679355,1.0971605611006205
26000000,26,600,CCMP1587,34.1,312000,10639200,25,0.064,0.0426,0.0473,0.27126523,1006.5287,34100,852500,1.3563261500000001,1.5909984164222875
260000000000,26,1000,CCMP1587,135.4,312000,42244800,25,0.1232,0.0435,0.0623,1.00679506,1814.3755,135400,3385000,5.0339753,1.4871418906942393
300,30,100,CCMP1587,3.43,312000,1068600,25,0.048,0.0439,0.0432,0.05626687,374.1605049,3430,85750,0.28133434999999996,3.2808670553935855
3000,30,200,CCMP1587,5.5,312000,1716000,25,0.0494,0.0427,0.0438,0.08592589,437.4605918,5500,137500,0.42962945,3.1245778181818187
30000,30,300,CCMP1587,18.25,312000,5694000,25,0.0589,0.0447,0.047,0.18219571,591.0186474,18250,456250,0.91097855,1.9966653150684932
300000,30,400,CCMP1587,6.35,312000,1981200,50,0.0487,0.0433,0.0431,0.07216994,1112.058314,6350,317500,0.3608497,1.1365344881889765
30000000,30,600,CCMP1587,27.88,312000,8697000,25,0.0677,0.0433,0.0481,0.31079304,1259.063624,27880,697000,1.5539652000000002,2.2295053084648497
300000000000,30,1000,CCMP1587,11.65,624000,7269600,25,0.0695,0.0443,0.0484,0.32328409,2139.347074,11650,291250,1.6164204500000001,5.549941459227468
350,35,100,CCMP1587,15.55,312000,4851600,25,0.0567,0.0428,0.0449,0.17875287,534.3659499,15550,388750,0.8937643500000001,2.2990722829581993
3500,35,200,CCMP1587,21.05,312000,6567600,25,0.0628,0.0432,0.0468,0.2503398,632.5126854,21050,526250,1.251699,2.3785254156769593
35000,35,300,CCMP1587,23.2,312000,7238400,25,0.0587,0.0423,0.0454,0.20923247,863.4705063,23200,580000,1.04616235,1.8037281896551722
350000,35,400,CCMP1587,26.9,312000,8392800,25,0.0619,0.0431,0.0467,0.23972748,889.1648209,26900,672500,1.1986374,1.7823604460966542
35000000,35,600,CCMP1587,28.15,312000,8782800,25,0.0611,0.0438,0.0465,0.22224489,1379.951023,28150,703750,1.11122445,1.5790045470692715
350000000000,35,1000,CCMP1587,26.15,312000,8158800,25,0.0685,0.0444,0.0498,0.30520308,2306.834873,26150,653750,1.5260154000000001,2.334249177820268
260,26,100,CCMP2929,22.3,312000,6957600,25,0.0578,0.0444,0.046,0.17346212,340.4587843,22300,557500,0.8673105999999999,1.5557140807174885
2600,26,200,CCMP2929,31.8,312000,9921600,25,0.0584,0.0462,0.048,0.15700686,375.3888432,31800,795000,0.7850343,0.9874645283018867
26000,26,300,CCMP2929,26.9,312000,8392800,25,0.053900000000000003,0.0441,0.0456,0.12597507,507.7545409,26900,672500,0.62987535,0.9366176208178438
260000,26,400,CCMP2929,25.25,312000,7878000,25,0.0569,0.0441,0.0455,0.16603966,961.1177433,25250,631250,0.8301983000000001,1.3151656237623763
26000000,26,600,CCMP2929,21.8,312000,6801600,25,0.0541,0.0442,0.0449,0.12944873,1090.921339,21800,545000,0.6472436500000001,1.187603027522936
260000000000,26,1000,CCMP2929,20.1,312000,6271200,25,0.0564,0.045,0.0466,0.14693132,1513.970232,20100,502500,0.7346566,1.462003184079602
300,30,100,CCMP2929,23.45,312000,7316400,25,0.0633,0.0439,0.0466,0.25010223,353.9877396,23450,586250,1.25051115,2.1330680597014924
3000,30,200,CCMP2929,41.9,312000,13072800,25,0.0642,0.045,0.0481,0.24637559,502.5962051,41900,1047500,1.23187795,1.1760171360381864
30000,30,300,CCMP2929,31.15,312000,9718800,25,0.0533,0.0464,0.0459,0.09287321,591.0186474,31150,778750,0.46436605,0.5962966934189405
300000,30,400,CCMP2929,42.2,312000,13166400,25,0.0527,0.0442,0.0451,0.11034039,672.0581081,42200,1055000,0.55170195,0.5229402369668247
30000000,30,600,CCMP2929,42.4,312000,13228800,50,0.0492,0.0443,0.0424,0.07009987,1128.874628,42400,2120000,0.35049935,0.1653298820754717
300000000000,30,1000,CCMP2929,32.07,312000,10004280,25,0.0497,0.0424,0.043,0.09522708,2075.454597,32070,801750,0.47613540000000004,0.5938701590271283
350,35,100,CCMP2929,5.3,312000,1653600,25,0.0473,0.0431,0.0428,0.05651985,538.899728,5300,132500,0.28259925,2.132824528301887
3500,35,200,CCMP2929,7.4,312000,2308800,25,0.045,0.043,0.0424,0.02814114,632.5126854,7400,185000,0.1407057,0.7605713513513513
35000,35,300,CCMP2929,10.95,312000,3416400,25,0.0481,0.0424,0.0435,0.07266049,863.4705063,10950,273750,0.36330244999999994,1.3271322374429222
350000,35,400,CCMP2929,11.625,312000,3627000,25,0.044,0.042,0.0412,0.02867792,1205.409853,11625,290625,0.1433896,0.4933835698924731
35000000,35,600,CCMP2929,12.2,312000,3806400,25,0.0492,0.0444,0.0448,0.06260036,1346.64541,12200,305000,0.3130018,1.0262354098360655
350000000000,35,1000,CCMP2929,8.4,312000,2620800,25,0.0485,0.0443,0.0441,0.05625146,2306.834873,8400,210000,0.28125730000000004,1.3393204761904762
