sample,co2,temp,genotype,initialpH,startTA,startDIC,startpH_at_treatment,startpCO2,endpH,endTA,endDIC,endpH_at_treatment,endpCO2,,genotype,co2,temp,startpCO2,endpCO2
26D1,26,100,CCMP1587,8.293,0.0022259,0.001867847,8.217104584,320.2716442,8.264,0.0021005,0.001774343,8.188574401,327.6167545,,CCMP1587,26,100,320.2716,327.6167545
26D2,26,200,CCMP1587,8.143,0.00191,0.001667647,8.069168099,417.5409764,8.106,0.0016623,0.001456903,8.033109982,399.3039391,,CCMP1587,26,200,483.2186,399.3039391
26D3,26,300,CCMP1587,8.090,0.002071,0.001841746,8.016531152,526.0988577,8.225,0.0022433,0.001925572,8.149731629,392.9228238,,CCMP1587,26,300,597.361,392.9228238
26D4,26,400,CCMP1587,8.076,0.0021835,0.001952884,8.00254247,577.6003947,7.992,0.0021257,0.001938511,7.919887382,702.9538938,,CCMP1587,26,400,577.6004,702.9538938
26D6,26,600,CCMP1587,7.851,0.0021157,0.001986861,7.781753082,1006.52875,8.067,0.0019176,0.001710308,7.994094992,516.573834,,CCMP1587,26,600,1006.5287,516.573834
26D10,26,1000,CCMP1587,7.640,0.0022676,0.002209934,7.577246818,1814.375491,9.158,0.0023224,0.001288595,9.066796819,17.16130918,,CCMP1587,26,1000,1814.3755,17.16130918
30D1,30,100,CCMP1587,8.293,0.0022259,0.001867847,8.168906072,374.1605049,8.106,0.0020995,0.001860142,7.985563151,594.723853,,CCMP1587,30,100,374.1605049,594.723853
30D2,30,200,CCMP1587,8.181,0.00191,0.001648682,8.059575002,437.4605918,7.994,0.0021278,0.001939597,7.876233186,812.7197414,,CCMP1587,30,200,437.4605918,812.7197414
30D3,30,300,CCMP1587,8.103,0.002071,0.001835346,7.982693971,591.0186474,8.005,0.0022241,0.002025116,7.886736777,826.9830793,,CCMP1587,30,300,591.0186474,826.9830793
30D4,30,400,CCMP1587,7.882,0.0021835,0.002039851,7.767796535,1112.058314,7.813,0.0021823,0.002065393,7.701648494,1319.182459,,CCMP1587,30,400,1112.058314,1319.182459
30D6,30,600,CCMP1587,7.819,0.0021157,0.001998792,7.70746676,1259.063624,8.143,0.0022178,0.001949463,8.021538494,569.4888115,,CCMP1587,30,600,1259.063624,569.4888115
30D10,30,1000,CCMP1587,7.627,0.0022676,0.002214323,7.525772037,2139.347074,8.189,0.002255,0.001957433,8.066588631,510.2108074,,CCMP1587,30,1000,2139.347074,510.2108074
35D1,35,100,CCMP1587,8.233,0.0022259,0.001905116,8.052363675,534.3659499,8.299,0.0019381,0.001609618,8.117501181,381.4077335,,CCMP1587,35,100,534.3659499,381.4077335
35D2,35,200,CCMP1587,8.113,0.00191,0.001682067,7.936754694,632.5126854,8.214,0.0018729,0.001598114,8.034921764,468.7532924,,CCMP1587,35,200,632.5126854,468.7532924
35D3,35,300,CCMP1587,8.028,0.002071,0.001870981,7.854293489,863.4705063,8.194,0.0019772,0.001702883,8.015130354,525.365515,,CCMP1587,35,300,863.4705063,525.365515
35D4,35,400,CCMP1587,8.038,0.0021835,0.00197148,7.863618393,889.1648209,8.172,0.0019747,0.001712128,7.993760487,557.6900746,,CCMP1587,35,400,889.1648209,557.6900746
35D6,35,600,CCMP1587,7.851,0.0021157,0.001986861,7.685984324,1379.951023,8.072,0.0021122,0.001888695,7.896541292,785.1363213,,CCMP1587,35,600,1379.951023,785.1363213
35D10,35,1000,CCMP1587,7.663,0.0022676,0.002202103,7.512191122,2306.834873,8.1,0.0019931,0.0017649,7.923919891,685.3086165,,CCMP1587,35,1000,2306.834873,685.3086165
26E1,26,100,CCMP2929,8.272,0.0022259,0.001881139,8.196300985,340.4587843,8.241,0.0020715,0.001761884,8.165845671,344.9535421,,CCMP2929,26,100,340.4587843,344.9535421
26E2,26,200,CCMP2929,8.181,0.00191,0.001648682,8.106748665,375.3888432,8.143,0.0020866,0.001829339,8.068858329,458.3822491,,CCMP2929,26,200,375.3888432,458.3822491
26E3,26,300,CCMP2929,8.103,0.002071,0.001835346,8.02936537,507.7545409,8,0.0022264,0.002029608,7.927616973,722.1854889,,CCMP2929,26,300,507.7545409,722.1854889
26E4,26,400,CCMP2929,7.882,0.0021835,0.002039851,7.811955175,961.1177433,8.048,0.0021607,0.001945409,7.974967359,616.0798084,,CCMP2929,26,400,961.1177433,616.0798084
26E6,26,600,CCMP2929,7.819,0.0021157,0.001998792,7.75056006,1090.921339,7.867,0.0022048,0.002066262,7.797277554,1008.510046,,CCMP2929,26,600,1090.921339,1008.510046
26E10,26,1000,CCMP2929,7.715,0.0022676,0.002184002,7.649557423,1513.970232,7.784,0.0021622,0.002056566,7.716479593,1217.214992,,CCMP2929,26,1000,1513.970232,1217.214992
30E1,30,100,CCMP2929,8.312,0.0022259,0.001855593,8.187607903,353.9877396,8.388,0.002133,0.001724,8.262635,269.6803,,CCMP2929,30,100,353.9877396,269.6803
30E2,30,200,CCMP2929,8.131,0.00191,0.001673473,8.01052578,502.5962051,8.275,0.00217,0.001829,8.151317,383.5988,,CCMP2929,30,200,502.5962051,383.5988
30E3,30,300,CCMP2929,8.103,0.002071,0.001835346,7.982693971,591.0186474,7.944,0.00223,0.002058,7.827547,971.1686,,CCMP2929,30,300,591.0186474,971.1686
30E4,30,400,CCMP2929,8.076,0.0021835,0.001952884,7.956036991,672.0581081,7.988,0.00206,0.001878,7.870544,797.914,,CCMP2929,30,400,672.0581081,797.914
30E6,30,600,CCMP2929,7.863,0.0021157,0.001982285,7.749635059,1128.874628,7.479,0.002006,0.001999,7.387715,2655.125,,CCMP2929,30,600,1128.874628,2655.125
30E10,30,1000,CCMP2929,7.640,0.0022676,0.002209934,7.537949018,2075.454597,7.812,0.002241,0.002123,7.700623,1359.247,,CCMP2929,30,1000,2075.454597,1359.247
35E1,35,100,CCMP2929,8.230,0.0022259,0.001906921,8.049442637,538.899728,7.713,0.001687,0.001616,7.558212,1520.014,,CCMP2929,35,100,538.899728,1520.014
35E2,35,200,CCMP2929,8.113,0.00191,0.001682067,7.936754694,632.5126854,7.723,0.00183,0.001753,7.567311,1613.867,,CCMP2929,35,200,632.5126854,1613.867
35E3,35,300,CCMP2929,8.028,0.002071,0.001870981,7.854293489,863.4705063,7.825,0.001996,0.001881,7.661815,1383.943,,CCMP2929,35,300,863.4705063,1383.943
35E4,35,400,CCMP2929,7.919,0.0021835,0.002024708,7.749994095,1205.409853,7.732,0.002019,0.001935,7.575453,1747.063,,CCMP2929,35,400,1205.409853,1747.063
35E6,35,600,CCMP2929,7.861,0.0021157,0.001983052,7.695376109,1346.64541,7.716,0.002131,0.002049,7.560665,1916.306,,CCMP2929,35,600,1346.64541,1916.306
35E10,35,1000,CCMP2929,7.663,0.0022676,0.002202103,7.512191122,2306.834873,7.573,0.002015,0.001981,7.430673,2507.241,,CCMP2929,35,1000,2306.834873,2507.241