sample,temp,co2,genotype,cell_conc_per_uL,volume_ul,cell_count,chla_extraction_vol_ml,A665,A750,A632,chla_ug_per_ml,pco2_calculated,methanol_vol_ml,Total_Chl_a_extracted_in_µg,total_cells_in_extracted_vol,Chl_a_per_cell_in_picograms
26D1,26,100,CCMP1587,24.3,312000,7581600,25,0.0663,0.045,0.0484,0.27342776,320.2716442,5,1.3671388,607500,2.250434239
26D2,26,200,CCMP1587,28,312000,8736000,25,0.0609,0.0444,0.0472,0.21136418,417.5409764,5,1.0568209,700000,1.509744143
26D3,26,300,CCMP1587,35,312000,10920000,25,0.0654,0.0434,0.0481,0.27922447,526.0988577,5,1.39612235,875000,1.5955684
26D4,26,400,CCMP1587,37.07,312000,11564904,25,0.0595,0.0433,0.0476,0.20335871,577.6003947,5,1.01679355,926750,1.097160561
26D6,26,600,CCMP1587,34.1,312000,10639200,25,0.064,0.0426,0.0473,0.27126523,1006.52875,5,1.35632615,852500,1.590998416
26D10,26,1000,CCMP1587,135.4,312000,42244800,25,0.0925,0.0435,0.0623,0.59954728,1814.375491,5,2.9977364,3385000,0.88559421
30D1,30,100,CCMP1587,3.43,312000,1068600,25,0.048,0.0439,0.0432,0.05626687,374.1605049,5,0.28133435,85750,3.280867055
30D2,30,200,CCMP1587,5.5,312000,1716000,25,0.0494,0.0427,0.0438,0.08592589,437.4605918,5,0.42962945,137500,3.124577818
30D3,30,300,CCMP1587,18.25,312000,5694000,25,0.0589,0.0447,0.047,0.18219571,591.0186474,5,0.91097855,456250,1.996665315
30D4,30,400,CCMP1587,6.35,312000,1981200,50,0.0487,0.0433,0.0431,0.07216994,1112.058314,5,0.3608497,317500,1.136534488
30D6,30,600,CCMP1587,27.88,312000,8697000,25,0.0677,0.0433,0.0481,0.31079304,1259.063624,5,1.5539652,697000,2.229505308
30D10,30,1000,CCMP1587,11.65,624000,7269600,50,0.0695,0.0443,0.0484,0.32328409,2139.347074,5,1.61642045,582500,2.77497073
35D1,35,100,CCMP1587,15.55,312000,4851600,25,0.0567,0.0428,0.0449,0.17875287,534.3659499,5,0.89376435,388750,2.299072283
35D2,35,200,CCMP1587,21.05,312000,6567600,25,0.0628,0.0432,0.0468,0.2503398,632.5126854,5,1.251699,526250,2.378525416
35D3,35,300,CCMP1587,23.2,312000,7238400,25,0.0587,0.0423,0.0454,0.20923247,863.4705063,5,1.04616235,580000,1.80372819
35D4,35,400,CCMP1587,26.9,312000,8392800,25,0.0619,0.0431,0.0467,0.23972748,889.1648209,5,1.1986374,672500,1.782360446
35D6,35,600,CCMP1587,28.15,312000,8782800,25,0.0611,0.0438,0.0465,0.22224489,1379.951023,5,1.11122445,703750,1.579004547
35D10,35,1000,CCMP1587,26.15,312000,8158800,25,0.0685,0.0444,0.0498,0.30520308,2306.834873,5,1.5260154,653750,2.334249178
2.60E+02,26,100,CCMP2929,22.3,312000,6957600,25,0.0578,0.0444,0.046,0.17346212,340.4587843,5,0.8673106,557500,1.555714081
2.60E+03,26,200,CCMP2929,31.8,312000,9921600,25,0.0584,0.0462,0.048,0.15700686,375.3888432,5,0.7850343,795000,0.987464528
2.60E+04,26,300,CCMP2929,26.9,312000,8392800,25,0.0539,0.0441,0.0456,0.12597507,507.7545409,5,0.62987535,672500,0.936617621
2.60E+05,26,400,CCMP2929,25.25,312000,7878000,25,0.0569,0.0441,0.0455,0.16603966,961.1177433,5,0.8301983,631250,1.315165624
2.60E+07,26,600,CCMP2929,21.8,312000,6801600,25,0.0541,0.0442,0.0449,0.12944873,1090.921339,5,0.64724365,545000,1.187603028
2.60E+11,26,1000,CCMP2929,20.1,312000,6271200,25,0.0564,0.045,0.0466,0.14693132,1513.970232,5,0.7346566,502500,1.462003184
3.00E+02,30,100,CCMP2929,23.45,312000,7316400,25,0.0633,0.0439,0.0466,0.25010223,353.9877396,5,1.25051115,586250,2.13306806
3.00E+03,30,200,CCMP2929,41.9,312000,13072800,25,0.0642,0.045,0.0481,0.24637559,502.5962051,5,1.23187795,1047500,1.176017136
3.00E+04,30,300,CCMP2929,31.15,312000,9718800,25,0.0533,0.0464,0.0459,0.09287321,591.0186474,5,0.46436605,778750,0.596296693
3.00E+05,30,400,CCMP2929,42.2,312000,13166400,25,0.0527,0.0442,0.0451,0.11034039,672.0581081,5,0.55170195,1055000,0.522940237
3.00E+07,30,600,CCMP2929,42.4,312000,13228800,50,0.0492,0.0443,0.0424,0.07009987,1128.874628,5,0.35049935,2120000,0.165329882
3.00E+11,30,1000,CCMP2929,32.07,312000,10004280,25,0.0497,0.0424,0.043,0.09522708,2075.454597,5,0.4761354,801750,0.593870159
3.50E+02,35,100,CCMP2929,5.3,312000,1653600,25,0.0473,0.0431,0.0428,0.05651985,538.899728,5,0.28259925,132500,2.132824528
3.50E+03,35,200,CCMP2929,7.4,312000,2308800,25,0.045,0.043,0.0424,0.02814114,632.5126854,5,0.1407057,185000,0.760571351
3.50E+04,35,300,CCMP2929,10.95,312000,3416400,25,0.0481,0.0424,0.0435,0.07266049,863.4705063,5,0.36330245,273750,1.327132237
3.50E+05,35,400,CCMP2929,11.625,312000,3627000,25,0.044,0.042,0.0412,0.02867792,1205.409853,5,0.1433896,290625,0.49338357
3.50E+07,35,600,CCMP2929,12.2,312000,3806400,25,0.0492,0.0444,0.0448,0.06260036,1346.64541,5,0.3130018,305000,1.02623541
3.50E+11,35,1000,CCMP2929,8.4,312000,2620800,25,0.0485,0.0443,0.0441,0.05625146,2306.834873,5,0.2812573,210000,1.339320476